Stdnum,CurrentPage,CurrentTime
2016001,1,832
2016001,2,854
2016001,3,860
2016001,4,874
2016001,5,878
2016001,6,902
2016001,7,915
2016001,8,918
2016001,9,925
2016002,1,602
2016002,2,630
2016002,1,864
2016002,2,878
2016002,3,884
2016002,4,889
2016002,5,898
2016002,6,904
2016002,7,910
2016002,8,921
2016002,9,930
2016003,1,725
2016003,2,766
2016003,1,767
2016003,2,767
2016003,1,767
2016003,2,767
2016003,3,768
2016003,4,768
2016003,5,768
2016003,6,768
2016003,7,769
2016003,8,769
2016003,4,770
2016003,4,770
2016003,5,770
2016003,5,770
2016003,6,770
2016003,6,770
2016003,7,770
2016003,5,770
2016003,5,770
2016003,4,770
2016003,5,770
2016003,6,770
2016003,7,770
2016003,8,770
2016003,7,770
2016003,6,770
2016003,5,770
2016003,4,771
2016003,3,772
2016003,2,772
2016003,1,772
2016005,1,1172
2016004,1,1173
2016005,1,1179
2016004,1,1180
2016005,2,1181
2016004,2,1182
2016005,2,1183
2016004,2,1183
2016005,3,1183
2016005,2,1183
2016005,3,1185
2016004,3,1186
2016005,4,1187
2016005,5,1188
2016004,4,1188
2016005,7,1188
2016004,5,1190
2016004,6,1191
2016005,8,1192
2016005,9,1192
2016005,8,1192
2016004,7,1193
2016005,9,1194
2016004,8,1194
2016005,8,1194
2016005,7,1194
2016005,5,1194
2016005,4,1194
2016005,3,1194
2016005,2,1194
2016005,2,1194
2016005,1,1194
2016005,2,1194
2016005,2,1194
2016005,3,1194
2016005,4,1194
2016005,5,1194
2016005,7,1194
2016005,8,1194
2016005,9,1194
2016004,8,1195
2016006,1,1290
2016006,2,1294
2016006,3,1300
2016006,4,1302
2016006,5,1305
2016006,7,1307
2016006,8,1310
2016006,9,1314